2014-07-07 13:37:29,194 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-56817-1404736649057-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:37:29,221 | INFO  | Listening for connections at: tcp://NDW1298:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:37:29,226 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:37:29,235 | INFO  | Listening for connections at: amqp://NDW1298:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:37:29,241 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:37:29,250 | INFO  | Listening for connections at: stomp://NDW1298:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:37:29,258 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:37:29,266 | INFO  | Listening for connections at: mqtt://NDW1298:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 13:37:29,271 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:37:29,424 | INFO  | Listening for connections at ws://NDW1298:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-07-07 13:37:29,426 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:37:29,430 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-56817-1404736649057-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:37:29,433 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:37:29,918 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-07-07 13:37:29,989 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-07-07 13:37:30,289 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-07-07 13:38:45,809 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3589193f: startup date [Mon Jul 07 13:38:45 BST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-07-07 13:38:47,104 | INFO  | PListStore:[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
